Date;Open;High;Low;Close;Volume;Adj Close
01.02.2014;9598.25;9620.93;9394.21;9400.04;90956900;9400.04
01.03.2014;9409.66;9453.48;9367.99;9435.15;58772900;9435.15
01.06.2014;9419.44;9468.80;9399.81;9428.00;53653700;9428.00
01.07.2014;9446.25;9518.72;9416.86;9506.20;79946800;9506.20
01.08.2014;9512.79;9516.26;9467.95;9497.84;90140400;9497.84
01.09.2014;9492.24;9549.50;9402.80;9421.61;98917000;9421.61
01.10.2014;9473.87;9529.70;9441.25;9473.24;96130400;9473.24
01.13.2014;9497.92;9519.30;9457.31;9510.17;85787700;9510.17
01.14.2014;9391.46;9540.51;9381.94;9540.51;104777800;9540.51
01.15.2014;9590.57;9747.40;9582.10;9733.81;120099000;9733.81
01.16.2014;9742.21;9747.37;9702.97;9717.71;87811900;9717.71
01.17.2014;9718.20;9789.89;9709.14;9742.96;131098100;9742.96
01.20.2014;9713.20;9733.40;9672.32;9715.90;78126100;9715.90
01.21.2014;9751.98;9794.05;9714.02;9730.12;80839600;9730.12
01.22.2014;9752.11;9765.63;9677.14;9720.11;84234100;9720.11
01.23.2014;9690.51;9728.78;9596.49;9631.04;98660400;9631.04
01.24.2014;9646.65;9664.24;9374.08;9392.02;125916200;9392.02
01.27.2014;9389.17;9402.72;9310.99;9349.22;112554100;9349.22
01.28.2014;9405.53;9427.59;9345.76;9406.91;99322000;9406.91
01.29.2014;9507.35;9537.63;9221.30;9336.73;126384200;9336.73
01.30.2014;9343.51;9415.48;9266.95;9373.48;97748700;9373.48
01.31.2014;9339.84;9346.79;9166.05;9306.48;126856500;9306.48
02.03.2014;9318.77;9357.58;9173.56;9186.52;105545400;9186.52
02.04.2014;9126.46;9166.98;9071.25;9127.91;114598200;9127.91
02.05.2014;9105.28;9154.72;9080.87;9116.32;95608700;9116.32
02.06.2014;9166.46;9274.46;9128.97;9256.58;122685200;9256.58
02.07.2014;9275.38;9323.24;9223.21;9301.92;89003400;9301.92
02.10.2014;9331.71;9346.13;9280.18;9289.86;59599900;9289.86
02.11.2014;9338.80;9478.77;9338.01;9478.77;76248400;9478.77
02.12.2014;9505.12;9594.85;9501.96;9540.00;85292300;9540.00
02.13.2014;9522.66;9600.64;9479.86;9596.77;93209100;9596.77
02.14.2014;9615.52;9677.53;9593.37;9662.40;91504800;9662.40
02.17.2014;9661.80;9682.19;9645.51;9656.76;45850100;9656.76
02.18.2014;9674.80;9690.97;9614.40;9659.78;58827300;9659.78
02.19.2014;9641.45;9695.86;9596.42;9660.05;72892900;9660.05
02.20.2014;9524.58;9618.85;9504.18;9618.85;88676900;9618.85
02.21.2014;9665.08;9666.15;9598.03;9656.95;78587700;9656.95
02.24.2014;9619.64;9708.94;9602.95;9708.94;67953500;9708.94
02.25.2014;9676.56;9710.95;9628.72;9699.35;90676100;9699.35
02.26.2014;9708.50;9720.66;9612.52;9661.73;87277200;9661.73
02.27.2014;9660.55;9672.82;9497.78;9588.33;86422200;9588.33
02.28.2014;9592.90;9692.08;9566.04;9692.08;83200800;9692.08
03.03.2014;9553.08;9554.17;9358.73;9358.89;118040200;9358.89
03.04.2014;9453.77;9590.11;9421.16;9589.15;95630200;9589.15
03.05.2014;9562.39;9599.00;9534.43;9542.02;73341700;9542.02
03.06.2014;9577.35;9587.44;9505.32;9542.87;103682600;9542.87
03.07.2014;9538.45;9543.24;9346.82;9350.75;103246700;9350.75
03.10.2014;9305.51;9382.98;9216.07;9265.50;84875400;9265.50
03.11.2014;9295.32;9375.29;9259.18;9307.79;72300800;9307.79
03.12.2014;9257.13;9267.10;9142.54;9188.69;107430600;9188.69
03.13.2014;9200.12;9226.96;9017.35;9017.79;113773100;9017.79
03.14.2014;8939.18;9094.24;8913.27;9056.41;141175500;9056.41
03.17.2014;9047.49;9197.81;9047.49;9180.89;86964500;9180.89
03.18.2014;9172.05;9315.07;9105.69;9242.55;99301200;9242.55
03.19.2014;9262.71;9325.93;9221.59;9277.05;89476800;9277.05
03.20.2014;9215.70;9296.90;9156.63;9296.12;96945700;9296.12
03.21.2014;9300.66;9376.94;9288.15;9342.94;198583500;9342.94
03.24.2014;9349.52;9358.95;9181.37;9188.77;86790900;9188.77
03.25.2014;9223.92;9372.07;9223.90;9338.40;82230600;9338.40
03.26.2014;9367.53;9488.74;9360.30;9448.58;75841600;9448.58
03.27.2014;9428.91;9469.39;9397.98;9451.21;66826100;9451.21
03.28.2014;9487.12;9587.19;9484.90;9587.19;70498400;9587.19
03.31.2014;9621.92;9634.82;9543.09;9555.91;68772900;9555.91
04.01.2014;9601.96;9631.06;9574.63;9603.71;72835100;9603.71
04.02.2014;9628.76;9645.60;9608.46;9623.36;73976000;9623.36
04.03.2014;9620.87;9689.52;9591.89;9628.82;76385800;9628.82
04.04.2014;9641.96;9721.50;9627.74;9695.77;75314000;9695.77
04.07.2014;9585.52;9608.20;9496.67;9510.85;78800000;9510.85
04.08.2014;9525.07;9525.94;9391.86;9490.79;86190900;9490.79
04.09.2014;9506.75;9542.31;9480.96;9506.35;69917100;9506.35
04.10.2014;9556.70;9581.48;9440.99;9454.54;77873700;9454.54
04.11.2014;9351.20;9390.44;9259.43;9315.29;100489700;9315.29
04.14.2014;9248.86;9339.17;9214.18;9339.17;90916500;9339.17
04.15.2014;9324.84;9344.85;9166.53;9173.71;88156800;9173.71
04.16.2014;9252.30;9318.97;9221.48;9317.82;78803200;9317.82
04.17.2014;9311.03;9417.82;9277.36;9409.71;86295200;9409.71
04.22.2014;9455.52;9602.57;9439.66;9600.09;70194100;9600.09
04.23.2014;9602.12;9607.84;9539.62;9544.19;61216900;9544.19
04.24.2014;9597.07;9645.06;9410.33;9548.68;87813900;9548.68
04.25.2014;9474.79;9501.91;9367.42;9401.55;79230200;9401.55
04.28.2014;9454.84;9496.84;9407.65;9446.36;67539100;9446.36
04.29.2014;9521.65;9596.42;9480.57;9584.12;91467900;9584.12
04.30.2014;9576.93;9618.98;9561.06;9603.23;90290900;9603.23
05.02.2014;9611.79;9627.38;9533.30;9556.02;88062300;9556.02
05.05.2014;9536.38;9548.17;9407.09;9529.50;61911600;9529.50
05.06.2014;9570.25;9571.63;9440.47;9467.53;82062900;9467.53
05.07.2014;9418.50;9554.35;9410.08;9521.30;92732600;9521.30
05.08.2014;9547.27;9622.30;9487.57;9607.40;102022500;9607.40
05.09.2014;9591.32;9602.86;9558.11;9581.45;80084100;9581.45
05.12.2014;9608.93;9710.34;9587.14;9702.46;87508500;9702.46
05.13.2014;9751.05;9783.72;9732.34;9754.43;96844100;9754.43
05.14.2014;9765.62;9772.09;9733.21;9754.39;76079000;9754.39
05.15.2014;9741.25;9810.29;9631.57;9656.05;133897400;9656.05
05.16.2014;9646.56;9670.90;9577.90;9629.10;113085400;9629.10
05.19.2014;9607.32;9676.52;9534.56;9659.39;97857300;9659.39
05.20.2014;9644.80;9685.56;9613.91;9639.08;67588400;9639.08
05.21.2014;9615.86;9709.91;9583.56;9697.87;86239200;9697.87
05.22.2014;9731.45;9734.14;9689.13;9720.91;63696000;9720.91
05.23.2014;9722.63;9779.59;9704.75;9768.01;65280800;9768.01
05.26.2014;9826.91;9893.81;9821.68;9892.82;53846400;9892.82
05.27.2014;9893.33;9951.90;9879.64;9940.82;79797700;9940.82
05.28.2014;9950.74;9957.87;9898.26;9939.17;72748500;9939.17
05.29.2014;9937.66;9956.24;9917.97;9938.90;65743400;9938.90
05.30.2014;9926.73;9970.77;9924.63;9943.27;103680100;9943.27
06.02.2014;9986.86;9992.33;9907.77;9950.12;57920300;9950.12
06.03.2014;9949.96;9954.78;9887.01;9919.74;71968600;9919.74
06.04.2014;9903.82;9928.96;9866.97;9926.67;66442200;9926.67
06.05.2014;9929.41;10013.69;9896.09;9947.83;129942500;9947.83
06.06.2014;9954.01;10000.92;9941.65;9987.19;92994900;9987.19
06.09.2014;9994.40;10009.60;9985.87;10008.63;43200400;10008.63
06.10.2014;9998.51;10033.74;9987.69;10028.80;64853100;10028.80
06.11.2014;10022.99;10024.84;9921.26;9949.81;96286500;9949.81
06.12.2014;9950.52;9970.38;9917.61;9938.70;68482900;9938.70
06.13.2014;9920.49;9944.57;9829.09;9912.87;79417700;9912.87
06.16.2014;9885.97;9925.85;9872.77;9883.98;64029200;9883.98
06.17.2014;9915.20;9982.89;9861.29;9920.32;72084200;9920.32
06.18.2014;9932.04;9964.02;9922.07;9930.33;72976800;9930.33
06.19.2014;10018.91;10023.55;9993.03;10004.00;86693500;10004.00
06.20.2014;9995.50;10050.98;9987.24;9987.24;209559600;9987.24
06.23.2014;9991.40;9993.02;9885.96;9920.92;68730100;9920.92
06.24.2014;9938.64;9948.59;9899.47;9938.08;61266100;9938.08
06.25.2014;9883.78;9914.12;9836.46;9867.75;82312000;9867.75
06.26.2014;9894.55;9898.38;9749.75;9804.90;94925000;9804.90
06.27.2014;9818.46;9836.68;9791.13;9815.17;63248900;9815.17
06.30.2014;9833.85;9889.49;9800.08;9833.07;66649700;9833.07
07.01.2014;9853.74;9902.41;9835.74;9902.41;54519000;9902.41
07.02.2014;9913.00;9936.39;9890.11;9911.27;70229500;9911.27
07.03.2014;9910.47;10032.28;9907.01;10029.43;78288000;10029.43
07.04.2014;10028.71;10030.81;10007.40;10009.08;52046500;10009.08
07.07.2014;9992.13;10015.36;9905.60;9906.07;60506300;9906.07
07.08.2014;9918.27;9920.78;9772.14;9772.67;85865100;9772.67
07.09.2014;9789.05;9817.47;9752.79;9808.20;73589700;9808.20
07.10.2014;9807.25;9807.25;9617.59;9659.13;96879100;9659.13
07.11.2014;9672.17;9708.43;9623.36;9666.34;62278400;9666.34
07.14.2014;9710.92;9793.78;9693.89;9783.01;56259600;9783.01
07.15.2014;9764.69;9788.71;9711.86;9719.41;72125500;9719.41
07.16.2014;9747.88;9871.58;9747.52;9859.27;69460000;9859.27
07.17.2014;9819.45;9845.85;9743.62;9753.88;76538100;9753.88
07.18.2014;9703.67;9721.08;9655.51;9720.02;118113800;9720.02
07.21.2014;9711.68;9717.70;9597.62;9612.05;65236500;9612.05
07.22.2014;9682.21;9735.71;9647.74;9734.33;62368600;9734.33
07.23.2014;9727.43;9802.06;9723.98;9753.56;64736900;9753.56
07.24.2014;9772.15;9810.47;9674.68;9794.06;70366600;9794.06
07.25.2014;9770.24;9794.85;9620.58;9644.01;73401600;9644.01
07.28.2014;9660.71;9665.05;9527.59;9598.17;71997100;9598.17
07.29.2014;9607.10;9692.33;9573.48;9653.63;66002300;9653.63
07.30.2014;9646.43;9704.01;9572.90;9593.68;79991300;9593.68
07.31.2014;9576.16;9582.74;9395.35;9407.48;131077400;9407.48
08.01.2014;9379.74;9394.48;9185.41;9210.08;141582500;9210.08
08.04.2014;9222.05;9243.23;9130.34;9154.14;85304300;9154.14
08.05.2014;9186.03;9237.14;9152.38;9189.74;80560700;9189.74
08.06.2014;9084.52;9166.21;9030.72;9130.04;98898300;9130.04
08.07.2014;9081.29;9166.04;9025.82;9038.97;97954700;9038.97
08.08.2014;8928.19;9061.00;8903.49;9009.32;102515800;9009.32
08.11.2014;9106.67;9199.00;9089.31;9180.74;81228900;9180.74
08.12.2014;9166.92;9171.94;9050.00;9069.47;74774600;9069.47
08.13.2014;9133.84;9213.61;9118.15;9198.88;82251600;9198.88
08.14.2014;9161.81;9265.92;9149.41;9225.10;80394300;9225.10
08.15.2014;9239.00;9324.57;9067.58;9092.60;110261800;9092.60
08.18.2014;9220.99;9261.65;9195.11;9245.33;63822100;9245.33
08.19.2014;9276.19;9350.27;9276.18;9334.28;57793200;9334.28
08.20.2014;9329.89;9333.68;9247.84;9314.57;63229700;9314.57
08.21.2014;9328.71;9405.93;9278.86;9401.53;67874900;9401.53
08.22.2014;9390.29;9414.39;9291.93;9339.17;70036600;9339.17
08.25.2014;9456.67;9510.14;9424.11;9510.14;53554100;9510.14
08.26.2014;9481.56;9591.72;9446.37;9588.15;66737100;9588.15
08.27.2014;9583.98;9600.85;9546.55;9569.71;69031300;9569.71
08.28.2014;9545.21;9546.81;9417.16;9462.56;72124500;9462.56
08.29.2014;9483.42;9517.95;9369.40;9470.17;68471200;9470.17
09.01.2014;9484.53;9500.20;9424.78;9479.03;43071900;9479.03
09.02.2014;9525.15;9578.50;9485.24;9507.02;55157400;9507.02
09.03.2014;9541.02;9683.10;9528.72;9626.49;90121000;9626.49
09.04.2014;9591.43;9732.78;9539.92;9724.26;106652400;9724.26
09.05.2014;9714.24;9774.65;9691.44;9747.02;77345000;9747.02
09.08.2014;9767.90;9773.70;9721.71;9758.03;53013300;9758.03
09.09.2014;9737.56;9769.21;9695.44;9710.70;57197900;9710.70
09.10.2014;9672.45;9723.08;9635.50;9700.17;62415400;9700.17
09.11.2014;9729.89;9732.83;9630.67;9691.28;62050300;9691.28
09.12.2014;9706.59;9706.59;9617.70;9651.13;52625100;9651.13
09.15.2014;9603.97;9682.46;9600.15;9659.63;55750900;9659.63
09.16.2014;9644.28;9644.88;9588.65;9632.93;62265100;9632.93
